Cmdline: /data/local/tmp/simpleperf record -e cpu-cycles -g --duration 10 --call-graph fp -o /data/local/tmp/perf_mbv2.data /data/local/tmp/benchmark/benchmark_inference --model mobilenetv2 --backend mnn --warmup 50 --runs 200
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 19871
Event count: 13450907503

Overhead  Command              Shared Object                                   Symbol
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7d6e55c]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8967c]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7f9757c]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]BionicAllocator::alloc_impl(unsigned long, unsigned long)
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8a638]
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  __cxa_atexit
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8a200]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8a1b0]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8a6a4]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7eb0ef4]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f8045c7c]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d295d8]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b64c]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e87c94]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4bf34]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4bf10]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             std::__ndk1::__function::__func<MNN::CPUConvolutionDepthwise::BasicFloatExecution::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0, std::__ndk1::allocator<MNN::CPUConvolutionDepthwise::BasicFloatExecution::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0>, void (int)>::operator()(int&&)
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4be7c]
0.01%     benchmark_inference  /system/lib64/libc++_shared.so                  @plt
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4be80]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b848]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::CPURaster::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             E4LoopH8
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c9ac]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7ee96f8]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c634]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5d4]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c158]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Interpreter::getSessionOutput(MNN::Session const*, char const*)
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c5ec]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::TensorUtils::getDescribe(MNN::Tensor const*)
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d293ac]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d293c8]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e973fc]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7f5b124]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4bedc]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNNPackedMatMulRemain
